timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686592326202,31,https://www.webstaurantstore.com/images/outlet/medium/62977/316459.jpg,200,OK,Outlets Test 1-1,bin,true,,7083,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62977/316459.jpg,31,0,0
1686592326202,24,https://www.webstaurantstore.com/images/outlet/medium/62971/316405.jpg,200,OK,Outlets Test 1-1,bin,true,,5614,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62971/316405.jpg,23,0,0
1686592326214,28,https://www.webstaurantstore.com/images/outlet/medium/62963/316301.jpg,200,OK,Outlets Test 1-1,bin,true,,4010,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62963/316301.jpg,28,0,0
1686592326214,26,https://www.webstaurantstore.com/images/categories/new/cookingequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7212,396,1,1,https://www.webstaurantstore.com/images/categories/new/cookingequipment_md.jpg,26,0,0
1686592326217,27,https://www.webstaurantstore.com/images/categories/new/beverageequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7337,397,1,1,https://www.webstaurantstore.com/images/categories/new/beverageequipment_md.jpg,26,0,0
1686592326220,24,https://www.webstaurantstore.com/images/categories/new/holdingwarmingequip_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6349,399,1,1,https://www.webstaurantstore.com/images/categories/new/holdingwarmingequip_md.jpg,24,0,0
1686592326226,25,https://www.webstaurantstore.com/images/categories/new/restaurantequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6130,399,1,1,https://www.webstaurantstore.com/images/categories/new/restaurantequipment_md.jpg,24,0,0
1686592326233,24,https://www.webstaurantstore.com/images/categories/new/refrigerationequipme_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7790,400,1,1,https://www.webstaurantstore.com/images/categories/new/refrigerationequipme_md.jpg,24,0,0
1686592326240,26,https://www.webstaurantstore.com/images/categories/new/janitorialsupplies_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6769,398,1,1,https://www.webstaurantstore.com/images/categories/new/janitorialsupplies_md.jpg,26,0,0
1686592326243,25,https://www.webstaurantstore.com/images/categories/new/smallwares_md.jpg,200,OK,Outlets Test 1-1,bin,true,,5184,390,1,1,https://www.webstaurantstore.com/images/categories/new/smallwares_md.jpg,24,0,0
1686592326244,23,https://www.webstaurantstore.com/images/categories/new/commercialconvovens_md.jpg,200,OK,Outlets Test 1-1,bin,true,,8664,399,1,1,https://www.webstaurantstore.com/images/categories/new/commercialconvovens_md.jpg,22,0,0
1686592326244,31,https://www.webstaurantstore.com/images/categories/new/commercialgasranges_md.jpg,200,OK,Outlets Test 1-1,bin,true,,5131,399,1,1,https://www.webstaurantstore.com/images/categories/new/commercialgasranges_md.jpg,30,0,0
1686592326251,27,https://www.webstaurantstore.com/images/categories/new/beerdispensers_md.jpg,200,OK,Outlets Test 1-1,bin,true,,4011,394,1,1,https://www.webstaurantstore.com/images/categories/new/beerdispensers_md.jpg,27,0,0
1686592326257,27,https://www.webstaurantstore.com/images/categories/new/reachinfridges_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6344,394,1,1,https://www.webstaurantstore.com/images/categories/new/reachinfridges_md.jpg,26,0,0
1686592326266,26,https://cdnimg.webstaurantstore.com/uploads/design/2020/9/quickship-icon.svg,200,OK,Outlets Test 1-1,text,true,,1659,394,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2020/9/quickship-icon.svg,26,0,0
1686592326267,29,https://www.webstaurantstore.com/uploads/design/2016/12/bolt.png,200,OK,Outlets Test 1-1,bin,true,,988,382,1,1,https://www.webstaurantstore.com/uploads/design/2016/12/bolt.png,29,0,0
1686592326268,25,https://www.webstaurantstore.com/images/outlet/medium/62941/316127.jpg,200,OK,Outlets Test 1-1,bin,true,,4984,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62941/316127.jpg,25,0,0
1686592326275,24,https://www.webstaurantstore.com/build/files/4fbcd8c51dafd28f6671.placeholder-img.png,200,OK,Outlets Test 1-1,bin,true,,712,403,1,1,https://www.webstaurantstore.com/build/files/4fbcd8c51dafd28f6671.placeholder-img.png,24,0,0
1686592326278,32,https://www.webstaurantstore.com/images/outlet/medium/62951/316211.jpg,200,OK,Outlets Test 1-1,bin,true,,4304,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62951/316211.jpg,31,0,0
1686592326284,31,https://www.webstaurantstore.com/uploads/design/2016/12/orangeflame.png,200,OK,Outlets Test 1-1,bin,true,,987,389,1,1,https://www.webstaurantstore.com/uploads/design/2016/12/orangeflame.png,31,0,0
1686592326292,22,https://www.webstaurantstore.com/images/outlet/medium/62765/314581.jpg,200,OK,Outlets Test 1-1,bin,true,,6697,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62765/314581.jpg,22,0,0
1686592326294,24,https://www.webstaurantstore.com/images/outlet/medium/62819/315061.jpg,200,OK,Outlets Test 1-1,bin,true,,5799,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62819/315061.jpg,23,0,0
1686592326296,30,https://www.webstaurantstore.com/images/outlet/medium/62715/314079.jpg,200,OK,Outlets Test 1-1,bin,true,,6603,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62715/314079.jpg,30,0,0
1686592326299,20,https://www.webstaurantstore.com/images/outlet/medium/62665/313571.jpg,200,OK,Outlets Test 1-1,bin,true,,7921,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62665/313571.jpg,20,0,0
1686592326310,29,https://www.webstaurantstore.com/uploads/design/2016/12/blueflame.png,200,OK,Outlets Test 1-1,bin,true,,983,387,1,1,https://www.webstaurantstore.com/uploads/design/2016/12/blueflame.png,29,0,0
1686592326314,26,https://www.webstaurantstore.com/images/outlet/medium/61423/302123.jpg,200,OK,Outlets Test 1-1,bin,true,,5671,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/61423/302123.jpg,26,0,0
